MatterFile,MatterID,MatterName,IntroductionDate,Version,SponsorCount,Sponsors,ActionCount,Actions,LastChangeDate,LastChangeDetail
Int 0487-2018,59910,Creating comprehensive reporting and oversight of NYPD surveillance technologies.,2018-02-14T00:00:00,*,13,"Vanessa L. Gibson; Helen K. Rosenthal; Mark Levine; Antonio Reynoso; Laurie A. Cumbo; Daniel Dromm ; Ben Kallos; Jumaane D. Williams; Margaret S. Chin; Brad S. Lander; I. Daneek Miller; Rory I. Lancman; Carlina Rivera ",2,2018-02-14T13:25:00: Introduced by Council; 2018-02-14T13:30:00: Referred to Comm by Council,2018-09-07T15:36:10.477,
Int 1101-2018,61415,Protecting cable provider customers’ personally identifiable information.,2018-09-12T00:00:00,*,1,Peter A. Koo,2,2018-09-12T13:25:00: Introduced by Council; 2018-09-12T13:30:00: Referred to Comm by Council,2018-09-12T20:32:21.567,
Int 1696-2017,58071,Automated decision systems used by agencies.,2017-08-24T00:00:00,A,17,"James Vacca; Helen K. Rosenthal; Corey D. Johnson; Rafael Salamanca, Jr.; Vincent J. Gentile; Robert E. Cornegy, Jr.; Jumaane D. Williams; Ben Kallos; Carlos Menchaca; James Vacca; Helen K. Rosenthal; Corey D. Johnson; Rafael Salamanca, Jr.; Vincent J. Gentile; Robert E. Cornegy, Jr.; Jumaane D. Williams; Ben Kallos",13,2017-08-24T13:25:00: Introduced by Council; 2017-08-24T13:30:00: Referred to Comm by Council; 2017-10-16T10:00:00: Hearing Held by Committee; 2017-10-16T10:00:00: Laid Over by Committee; 2017-12-07T10:30:00: Hearing Held by Committee; 2017-12-07T10:30:00: Amendment Proposed by Comm; 2017-12-07T10:30:00: Amended by Committee; 2017-12-07T10:30:00: Approved by Committee; 2017-12-11T13:30:00: Approved by Council; 2017-12-11T17:00:00: Sent to Mayor by Council; 2017-12-18T16:30:00: Hearing Scheduled by Mayor; 2018-01-11T16:50:00: City Charter Rule Adopted; 2018-01-17T14:40:00: Returned Unsigned by Mayor,2018-04-05T17:29:46.573,
Int 0514-2018,,,,,,,,,,
